,Unnamed: 0,0,1,2,Venue,Opened,Info,Also known as,Closed,Open,address_freq,inconsistent,venue_freq,address_prompt,location,point,latitude,longitude,altitude,address_prompt2,location2,point2,latitude2,longitude2,altitude2,is_problem,Lat,Long,Side of River
264,264,973 Nepean Hwy,Bentleigh VIC 3204,Australia,"Transformers Moorabbin, Melbourne, Australia",1988,,,,,1,,16,973 Nepean Hwy Bentleigh VIC 3204 Australia,"973, Nepean Highway, Bentleigh, Melbourne, City of Glen Eira, Victoria, 3204, Australia","(-37.9327511, 145.0346903, 0.0)",-37.9327511,145.0346903,0,"Transformers Moorabbin, Melbourne, Australia",,,,,,"Address match, but venue no match. Check for accuracy.",,,South
118,118,80 Lygon St,Brunswick East VIC 3057,Australia,"East Brunswick Club Hotel, Melbourne, Australia",,,"The B East, ",,,2,TRUE,260,80 Lygon St Brunswick East VIC 3057 Australia,"The B.East, 80, Lygon Street, Brunswick East, Melbourne, City of Merri-bek, Victoria, 3057, Australia","(-37.7763121, 144.9711859, 0.0)",-37.7762508,144.9712205,0,"East Brunswick Club Hotel, Melbourne, Australia",,,,,,"Address match, but venue no match. Check for accuracy.",,,North
14,14,133 Sydney Rd,Brunswick VIC 3056,Australia,"Stay Gold, Melbourne, Australia",,,,,,1,,69,133 Sydney Rd Brunswick VIC 3056 Australia,"Ollie's Pizza Parlour, 133, Sydney Road, Brunswick, Melbourne, City of Merri-bek, Victoria, 3056, Australia","(-37.7743469, 144.9607404, 0.0)",-37.7743973,144.9606876,0,"Stay Gold, Melbourne, Australia",,,,,,"Address match, but venue no match. Check for accuracy.",,,North
24,24,314 Sydney Rd,Brunswick VIC 3056,Australia,"Brunswick Ballroom, Melbourne, Australia",,,,,,1,,39,314 Sydney Rd Brunswick VIC 3056 Australia,"The Spotted Mallard, 314, Sydney Road, Brunswick, Melbourne, City of Merri-bek, Victoria, 3056, Australia","(-37.770456, 144.9617895, 0.0)",-37.7704888,144.9617539,0,"Brunswick Ballroom, Melbourne, Australia",,,,,,"Address match, but venue no match. Check for accuracy.",,,North
37,37,280 Sydney Rd,Brunswick VIC 3056,Australia,"The Retreat Hotel, Melbourne, Australia",,,,,,2,TRUE,49,280 Sydney Rd Brunswick VIC 3056 Australia,"Retreat Hotel, 280, Sydney Road, Brunswick, Melbourne, City of Merri-bek, Victoria, 3056, Australia","(-37.7711458, 144.961617, 0.0)",-37.7711548,144.9616189,0,"The Retreat Hotel, Melbourne, Australia",,,,,,"Address match, but venue no match. Check for accuracy.",,,North
267,267,29 Sydney Rd,Brunswick VIC 3056,Australia,"Sarah Sands Hotel, Melbourne, Australia",,,Sara Sands,,,1,,23,29 Sydney Rd Brunswick VIC 3056 Australia,"29, Sydney Road, Brunswick, Melbourne, City of Merri-bek, Victoria, 3056, Australia","(-37.7769307, 144.960332, 0.0)",-37.7769307,144.960332,0,"Sarah Sands Hotel, Melbourne, Australia",,,,,,"Address match, but venue no match. Check for accuracy.",,,North
288,288,1 Phoenix St,Brunswick VIC 3056,Australia,"Bombay Rock, Melbourne, Australia",,Later known as Bombay Bicycle Club,,,10 March 1977 - 1991,1,,151,1 Phoenix St Brunswick VIC 3056 Australia,"Phoenix Street, Brunswick, Melbourne, City of Merri-bek, Victoria, 3056, Australia","(-37.7700595, 144.9589291, 0.0)",-37.7715617,144.9600979,0,"Bombay Rock, Melbourne, Australia",,,,,,"Address match, but venue no match. Check for accuracy.",,,North
279,279,511 Nicholson St,Carlton North VIC 3054,Australia,"Hearts Nightclub, Polaris Inn, Melbourne, Australia",31-Aug-78,,,,,1,,61,511 Nicholson St Carlton North VIC 3054 Australia,"Nicholson Street, Carlton North, Melbourne, City of Yarra, Victoria, 3054, Australia","(-37.7929144, 144.9756506, 0.0)",-37.7874888,144.9764999,0,"Hearts Nightclub, Polaris Inn, Melbourne, Australia",,,,,,"Address match, but venue no match. Check for accuracy.",,,North
147,147,54 Victoria St,Carlton VIC 3053,Australia,"Bella Union Bar, Victorian Trades Hall, Melbourne, Australia",,,The Melbourne Folk Club,,,1,,27,54 Victoria St Carlton VIC 3053 Australia,"Victorian Trades Hall, 54, Victoria Street, Melbourne Innovation District, Carlton, Melbourne, City of Melbourne, Victoria, 3000, Australia","(-37.8064532, 144.96628544035215, 0.0)",-37.8064532,144.9662854,0,"Bella Union Bar, Victorian Trades Hall, Melbourne, Australia",,,,,,"Address match, but venue no match. Check for accuracy.",,,North
174,174,225 Canning St,Carlton VIC 3053,Australia,"The Dan O'Connell Hotel, Melbourne, Australia",,,,,,1,,26,225 Canning St Carlton VIC 3053 Australia,"Dan O'Connell Hotel, 225, Canning Street, Carlton, Melbourne, City of Melbourne, Victoria, 3053, Australia","(-37.793044949999995, 144.97340706656217, 0.0)",-37.7930449,144.9734071,0,"The Dan O'Connell Hotel, Melbourne, Australia",,,,,,"Address match, but venue no match. Check for accuracy.",,,North
199,199,205 Nicholson St,Carlton VIC 3053,Australia,"Stockade Hotel, Melbourne, Australia",,,,,,1,,13,205 Nicholson St Carlton VIC 3053 Australia,"Nicholson Street, Melbourne Innovation District, Carlton, Melbourne, City of Melbourne, Victoria, 3065, Australia","(-37.8014431, 144.9741899, 0.0)",-37.7950618,144.9751009,0,"Stockade Hotel, Melbourne, Australia",,,,,,"Address match, but venue no match. Check for accuracy.",,,North
249,249,1084 Dandenong Rd,Carnegie VIC 3163,Australia,"The Rosstown Hotel, Melbourne, Australia",,,,,,1,,34,1084 Dandenong Rd Carnegie VIC 3163 Australia,"Dandenong Road, Carnegie, Melbourne, City of Glen Eira, Victoria, 3163, Australia","(-37.8833999, 145.053685, 0.0)",-37.8842474,145.0577103,0,"The Rosstown Hotel, Melbourne, Australia",,,,,,"Address match, but venue no match. Check for accuracy.",,,South
69,69,667 Warrigal Rd,Chadstone VIC 3148,Australia,"Matthew Flinders Hotel, Melbourne, Australia",,,,,,1,,69,667 Warrigal Rd Chadstone VIC 3148 Australia,"667, Warrigal Road, Chadstone, Melbourne, City of Monash, Victoria, 3148, Australia","(-37.8764952, 145.0918914, 0.0)",-37.8764952,145.0918914,0,"Matthew Flinders Hotel, Melbourne, Australia",,,,,,"Address match, but venue no match. Check for accuracy.",,,
64,64,484 Smith Street,Collingwood VIC 3066,Australia,"The Gasometer Hotel, Melbourne, Australia",,,,,,1,,133,484 Smith Street Collingwood VIC 3066 Australia,"Gasometer Hotel, 484, Smith Street, Collingwood, Melbourne, City of Yarra, Victoria, 3066, Australia","(-37.79426315, 144.98535244416098, 0.0)",-37.7942368,144.9853099,0,"The Gasometer Hotel, Melbourne, Australia",,,,,,"Address match, but venue no match. Check for accuracy.",,,North
