year,male,female,data_source
2020,2.0,3.0,DAAO
2021,1.0,1.0,DAAO
2022,0.0,0.0,DAAO
1777,0.0,0.0,DAQA
1778,0.0,0.0,DAQA
1779,0.0,0.0,DAQA
1780,0.0,0.0,DAQA
1781,0.0,0.0,DAQA
1782,0.0,0.0,DAQA
1783,0.0,0.0,DAQA
1784,0.0,0.0,DAQA
1785,0.0,0.0,DAQA
1786,0.0,0.0,DAQA
1787,0.0,0.0,DAQA
1788,0.0,0.0,DAQA
1789,0.0,0.0,DAQA
1790,0.0,0.0,DAQA
1791,0.0,0.0,DAQA
1792,0.0,0.0,DAQA
1793,0.0,0.0,DAQA
1794,0.0,0.0,DAQA
1795,0.0,0.0,DAQA
1796,0.0,0.0,DAQA
1797,0.0,0.0,DAQA
1798,0.0,0.0,DAQA
1799,0.0,0.0,DAQA
1800,0.0,0.0,DAQA
1801,0.0,0.0,DAQA
1802,0.0,0.0,DAQA
1803,0.0,0.0,DAQA
1804,0.0,0.0,DAQA
1805,0.0,0.0,DAQA
1806,0.0,0.0,DAQA
1807,0.0,0.0,DAQA
1808,0.0,0.0,DAQA
1809,0.0,0.0,DAQA
1810,0.0,0.0,DAQA
1811,0.0,0.0,DAQA
1812,0.0,0.0,DAQA
1813,0.0,0.0,DAQA
1814,0.0,0.0,DAQA
1815,0.0,0.0,DAQA
1816,0.0,0.0,DAQA
1817,0.0,0.0,DAQA
1818,0.0,0.0,DAQA
1819,0.0,0.0,DAQA
1820,0.0,0.0,DAQA
1821,0.0,0.0,DAQA
1822,0.0,0.0,DAQA
1823,0.0,0.0,DAQA
1824,0.0,0.0,DAQA
1825,0.0,0.0,DAQA
1826,0.0,0.0,DAQA
1827,0.0,0.0,DAQA
1828,0.0,0.0,DAQA
1829,0.0,0.0,DAQA
1830,0.0,0.0,DAQA
1831,0.0,0.0,DAQA
1832,0.0,0.0,DAQA
1833,0.0,0.0,DAQA
1834,0.0,0.0,DAQA
1835,0.0,0.0,DAQA
1836,0.0,0.0,DAQA
1837,0.0,0.0,DAQA
1838,0.0,0.0,DAQA
1839,0.0,0.0,DAQA
1840,0.0,0.0,DAQA
1841,0.0,0.0,DAQA
1842,0.0,0.0,DAQA
1843,0.0,0.0,DAQA
1844,0.0,0.0,DAQA
1845,0.0,0.0,DAQA
1846,0.0,0.0,DAQA
1847,0.0,0.0,DAQA
1848,0.0,0.0,DAQA
1849,0.0,0.0,DAQA
1850,0.0,0.0,DAQA
1851,0.0,0.0,DAQA
1852,0.0,0.0,DAQA
1853,0.0,0.0,DAQA
